station_name,station_code,capacity,grid_connection_date,raw_keys
Centro Social Alferrarede - Lar,NE=139899397,,2023-03-06T17:30:40+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
ELS Laundos,NE=139080794,68.0,2022-08-10T15:30:36+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
RAP Industrial,NE=139553377,91.56,2022-11-23T10:22:54+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Diaco - Fábrica 1 (Expansão),NE=140319503,35.97,2023-06-28T12:32:42+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
FC Alverca - Pavilhão,NE=140641800,159.14,2023-09-29T07:00:00+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
O Bolo do Caco,NE=141845303,310.74,2021-12-27T16:49:12+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Casa Diaco,NE=141941499,5.4,2022-03-09T18:28:50+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Moviportas 2,NE=139131723,46.325,2022-08-22T17:01:20+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Fábricas Lusitana,NE=140631348,324.275,2023-09-27T10:41:42+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
S.C.M. Entroncamento - UCCI,NE=139801895,49.0,2023-02-06T11:37:28+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Tecnisata,NE=139568681,147.15,2022-11-28T11:36:12+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Casa da Divina Providência e Maria Auxiliadora,NE=140113970,50.3,2023-05-08T13:53:05+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Cooperativa da Mirandesa,NE=141489698,76.32,2021-10-08T00:00:00+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Corkplas Armazém 13,NE=139198779,30.52,2022-09-13T17:40:45+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Solidus,NE=139509309,45.03,2021-03-18T00:00:00+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Transportes Rápido,NE=139647798,85.5,2021-04-05T00:00:00+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Lopal,NE=191807662,24.15,2025-09-18T11:37:59+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
San Camillo Torino,NE=149574646,163.2,2024-03-13T11:20:54+01:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Intermarche Oliveira do Douro,NE=164714782,310.08,2025-01-06T17:10:38+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
CSP Santo Aleixo,NE=159250453,50.92,2024-10-08T17:13:51+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Hotel Pombalense,NE=154557737,19.55,2024-07-08T10:35:53+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Alegrivárias,NE=163172236,12.54,2024-12-11T17:11:34+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
